=== INTERLOCKING STRESS TEST SUITE ===

[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_223 | location: H_T_223
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_224 | location: H_T_224
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_225 | location: H_T_225
[CONFLICT] 2026-03-16T21:07:12.241826 | FOLLOWING CONFLICT | train: NEW_226 | location: H_T_226
[CONFLICT] 2026-03-16T21:07:12.242824900 | FOLLOWING CONFLICT | train: NEW_227 | location: H_T_227
[CONFLICT] 2026-03-16T21:07:12.242824900 | FOLLOWING CONFLICT | train: NEW_228 | location: H_T_228
[CONFLICT] 2026-03-16T21:07:12.242824900 | FOLLOWING CONFLICT | train: NEW_229 | location: H_T_229
[CONFLICT] 2026-03-16T21:07:12.242824900 | FOLLOWING CONFLICT | train: NEW_230 | location: H_T_230
[CONFLICT] 2026-03-16T21:07:12.242824900 | FOLLOWING CONFLICT | train: NEW_231 | location: H_T_231
[CONFLICT] 2026-03-16T21:07:12.242824900 | HEAD-ON CONFLICT | train: NEW_232 | location: H_T_232
[CONFLICT] 2026-03-16T21:07:12.242824900 | FOLLOWING CONFLICT | train: NEW_233 | location: H_T_233
[CONFLICT] 2026-03-16T21:07:12.242824900 | HEAD-ON CONFLICT | train: NEW_234 | location: H_T_234
[CONFLICT] 2026-03-16T21:07:12.242824900 | FOLLOWING CONFLICT | train: NEW_235 | location: H_T_235
[CONFLICT] 2026-03-16T21:07:12.242824900 | HEAD-ON CONFLICT | train: NEW_236 | location: H_T_236
[CONFLICT] 2026-03-16T21:07:12.242824900 | HEAD-ON CONFLICT | train: NEW_237 | location: H_T_237
[CONFLICT] 2026-03-16T21:07:12.242824900 | HEAD-ON CONFLICT | train: NEW_238 | location: H_T_238
[CONFLICT] 2026-03-16T21:07:12.242824900 | HEAD-ON CONFLICT | train: NEW_239 | location: H_T_239
